date,alert_type,severity,confidence,action_required
2001-11-01,DROUGHT,HIGH,0.8125,"Monitor water resources, prepare irrigation"
2001-11-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2001-11-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2001-12-01,DROUGHT,HIGH,0.8125,"Monitor water resources, prepare irrigation"
2001-12-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2001-12-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2001-12-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2001-12-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2001-12-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2001-12-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2002-01-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2002-01-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2002-01-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
2002-01-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2002-01-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2002-02-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2002-02-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2002-03-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
2002-03-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2002-04-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
2002-04-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
2002-05-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
2002-06-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
2003-03-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2003-05-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2003-09-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2003-10-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2003-10-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2003-11-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2003-11-01,DROUGHT,HIGH,0.8125,"Monitor water resources, prepare irrigation"
2003-11-01,DROUGHT,HIGH,0.8125,"Monitor water resources, prepare irrigation"
2003-12-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2003-12-01,DROUGHT,HIGH,0.8125,"Monitor water resources, prepare irrigation"
2003-12-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2003-12-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2004-04-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
2004-08-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2004-08-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2004-09-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2004-10-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2004-10-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2004-10-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2004-10-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2004-11-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2004-11-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2004-11-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2004-11-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2004-11-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2004-12-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
2005-01-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
2005-03-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
2005-04-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
2005-05-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2005-05-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
2005-05-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
2005-08-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2005-09-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2005-09-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2005-09-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2005-10-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2005-10-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2005-10-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2005-11-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2005-11-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2005-11-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2005-11-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2005-12-01,DROUGHT,HIGH,0.8125,"Monitor water resources, prepare irrigation"
2005-12-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2005-12-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2005-12-01,DROUGHT,HIGH,0.8125,"Monitor water resources, prepare irrigation"
2005-12-01,DROUGHT,HIGH,0.8125,"Monitor water resources, prepare irrigation"
2005-12-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2006-01-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2006-01-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2006-01-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2006-01-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2006-01-01,DROUGHT,HIGH,0.8125,"Monitor water resources, prepare irrigation"
2006-01-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2006-01-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2006-02-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2006-02-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2006-02-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2006-02-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2006-02-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2006-02-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2006-04-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
2006-04-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
2006-08-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2006-09-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2006-10-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2006-10-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2006-10-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2006-11-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2006-11-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2006-11-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2006-11-01,FLOOD,MEDIUM,0.625,"Prepare drainage, protect crops"
2006-11-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2006-12-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
2006-12-01,FLOOD,MEDIUM,0.625,"Prepare drainage, protect crops"
2006-12-01,FLOOD,MEDIUM,0.625,"Prepare drainage, protect crops"
2006-12-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2006-12-01,FLOOD,MEDIUM,0.625,"Prepare drainage, protect crops"
2006-12-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2007-04-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
2007-04-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
2007-05-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
2007-05-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
2007-09-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2007-10-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2007-11-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2007-12-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
2008-03-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
2008-04-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
2009-01-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
2009-03-01,FLOOD,MEDIUM,0.625,"Prepare drainage, protect crops"
2009-07-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2009-08-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2009-08-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2009-08-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2009-09-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2009-09-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2009-10-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2009-10-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2009-10-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2009-10-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2009-11-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2009-11-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2009-12-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
2010-02-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2010-03-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
2010-04-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
2010-04-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
2010-05-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
2010-09-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2010-10-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2010-10-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2010-10-01,DROUGHT,HIGH,0.8125,"Monitor water resources, prepare irrigation"
2010-11-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2010-11-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2010-11-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2010-12-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2011-04-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
2011-05-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2011-10-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2011-10-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2011-10-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2011-11-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2011-11-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2011-11-01,FLOOD,MEDIUM,0.625,"Prepare drainage, protect crops"
2011-12-01,FLOOD,MEDIUM,0.625,"Prepare drainage, protect crops"
2011-12-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
2011-12-01,FLOOD,MEDIUM,0.625,"Prepare drainage, protect crops"
2012-04-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
2012-04-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2012-09-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2012-09-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2012-10-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2012-10-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2012-10-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2012-11-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2012-12-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
2013-04-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
2013-04-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
2013-05-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
2013-06-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
